,telephone,latitude,longitude,streetAddress,street,city,state,zip_code,store_page_title
0,(833) 470-7038,33.2399282,-86.8154658,113 Simmsville Rd,113 Simmsville Rd,Alabaster,Alabama,35007,"Shop ALDI Grocery Store Alabaster, AL | 113 Simmsville Rd"
1,(833) 470-7101,33.71495000674035,-85.81874244756857,5303 McClellan Blvd,5303 McClellan Blvd,Anniston,Alabama,36206,"Shop ALDI Grocery Store Anniston, AL | 5303 McClellan Blvd"
2,(833) 470-7086,34.79051035233038,-86.96799874305725,115 US 72,115 US 72,Athens,Alabama,35611,"Shop ALDI Grocery Store Athens, AL | 115 US 72"
3,(833) 470-7031,33.3588041,-86.9995295,710 Academy Dr,710 Academy Dr,Bessemer,Alabama,35022,"Shop ALDI Grocery Store Bessemer, AL | 710 Academy Dr"
4,(833) 470-7072,33.4263386937744,-86.70293614268303,4639 Hwy 280 Suite 101,"4639 Hwy 280, Suite 101",Birmingham,Alabama,35242,"Shop ALDI Grocery Store Birmingham, AL | 4639 Hwy 280"
5,(833) 470-7034,33.59805608881696,-86.69440202795613,520 Gene Reed Rd,520 Gene Reed Rd,Birmingham,Alabama,35215,"Shop ALDI Grocery Store Birmingham, AL | 520 Gene Reed Rd"
6,(833) 470-7035,33.6103969,-86.6234967,5485 Patrick Way,5485 Patrick Way,Birmingham,Alabama,35235,"Shop ALDI Grocery Store Birmingham, AL | 5485 Patrick Way"
7,(833) 470-7033,33.5304028,-86.7273522,7400 Crestwood Blvd,7400 Crestwood Blvd,Birmingham,Alabama,35210,"Shop ALDI Grocery Store Birmingham, AL | 7400 Crestwood Blvd"
8,(833) 470-7039,34.15340396946939,-86.84201404452324,1831 Cherokee Ave SW,1831 Cherokee Ave SW,Cullman,Alabama,35055,"Shop ALDI Grocery Store Cullman, AL | 1831 Cherokee Ave SW"
9,(877) 476-4147,30.6193947,-87.9043579,27060 US Hwy 98,27060 US Hwy 98,Daphne,Alabama,36526,"Shop ALDI Grocery Store Daphne, AL | 27060 US Hwy 98"
10,(833) 470-7098,34.56361727812387,-87.01073360118868,1413 Beltline Rd,1413 Beltline Rd,Decatur,Alabama,35601,"Shop ALDI Grocery Store Decatur, AL | 1413 Beltline Rd"
11,(877) 482-1088,31.318665642293098,-85.82863975214958,630 Boll Weevil Cir,630 Boll Weevil Cir,Enterprise,Alabama,36330,"Shop ALDI Grocery Store Enterprise, AL | 630 Boll Weevil Cir"
12,(833) 482-7040,30.52411,-87.851442,10101 County Rd 48,10101 County Rd 48,Fairhope,Alabama,36532,"Shop ALDI Grocery Store Fairhope, AL | 10101 County Rd 48"
